age,highschool_gpa,college_gpa,internships,projects,certifications,hackathons,communication_skills,technical_skills,aptitude_score,coding_score,attendance_percentage,backlogs,volunteering,english_proficiency,quantitative_score,logical_reasoning,extracurricular,leadership_experience,placed
23,3.33,3.92,1,5,2,4,3,2,63,87,58.74,3,1,5,54,52,3,0,1
20,2.24,3.1,3,6,4,3,4,1,79,22,65.8,0,1,2,78,37,2,1,0
22,2.8,3.59,3,4,2,3,10,3,98,3,55.81,0,0,6,11,9,1,0,0
24,3.59,2.09,3,2,0,4,6,7,58,17,62.34,2,0,9,57,5,2,1,0
22,2.44,3.13,2,5,3,1,6,10,100,11,83.63,0,1,1,58,84,4,1,0
24,2.37,2.8,1,4,2,0,2,9,30,34,74.35,1,0,3,67,94,4,1,0
20,3.9,3.54,0,7,1,2,2,10,87,26,58.1,2,0,10,16,33,0,1,0
21,2.42,2.08,1,6,5,3,9,9,94,42,73.73,2,1,1,72,48,1,1,0
23,2.52,2.8,3,3,1,3,2,8,46,77,92.37,0,1,5,94,31,3,0,1
20,3.94,3.6,0,9,3,3,2,6,91,94,71.99,2,0,5,29,28,4,1,1
23,3.47,3.05,3,4,4,1,3,1,71,66,50.66,4,1,4,62,64,4,0,0
21,3.4,3.1,3,5,5,4,9,8,57,68,52.75,2,0,5,61,32,1,1,1
21,3.71,2.19,3,3,1,1,6,8,32,63,71.91,2,1,8,61,16,2,1,0
20,2.23,2.26,1,8,5,3,6,9,34,92,79.66,1,1,8,17,97,0,1,1
21,3.41,3.35,1,7,2,0,10,10,95,51,94.33,4,1,6,20,48,4,0,0
24,3.01,3.35,3,7,3,3,5,6,83,16,99.1,2,1,4,80,15,0,0,0
21,3.66,3.96,3,8,1,0,7,3,67,82,99.02,1,0,4,34,6,3,0,1
23,3.02,3.42,0,7,4,0,4,6,73,98,77.89,4,1,5,16,99,0,1,1
23,3.24,2.99,3,3,5,3,10,8,86,32,51.79,2,1,5,80,12,4,0,0
23,2.96,3.71,3,3,4,3,10,7,100,71,60.67,0,0,2,88,83,2,0,1
23,2.96,2.21,3,2,5,0,3,8,53,51,71.72,2,1,6,53,3,4,0,0
24,3.54,2.9,3,1,1,1,7,3,88,100,93.98,4,0,7,76,62,3,1,1
22,3.26,2.57,1,5,3,1,10,8,37,34,51.08,2,0,3,23,68,0,1,0
20,3.27,2.21,3,4,0,1,1,5,31,19,75.47,4,1,10,14,79,2,0,0
23,2.9,3.53,2,2,1,2,6,7,70,80,82.67,0,0,4,84,72,2,1,1
21,3.06,3.02,3,1,4,0,2,4,85,44,64.41,2,0,9,75,75,0,1,0
23,3.49,3.11,1,3,0,2,2,3,77,76,65.78,4,1,4,13,77,0,1,0
21,3.65,2.82,2,6,3,2,8,6,51,67,69.42,1,1,10,46,14,0,0,1
21,3.39,2.92,2,2,4,0,3,9,47,49,63.73,2,0,7,91,4,3,0,0
23,3.85,2.23,3,7,3,2,9,4,70,57,71.86,0,0,2,88,41,2,1,1
24,3.64,3.35,3,7,5,0,4,9,96,29,57.9,1,0,5,91,17,4,1,1
21,3.12,2.86,1,3,1,4,6,3,77,69,59.97,2,1,6,30,71,3,1,0
21,3.34,3.63,2,1,3,4,1,6,52,1,51.86,4,0,2,99,7,0,0,0
23,3.85,2.39,2,9,4,0,10,5,31,78,70.57,3,1,1,79,88,0,1,0
21,3.24,2.41,1,5,1,0,10,9,33,33,85.37,1,1,9,57,67,4,0,0
21,3.65,3.29,3,2,4,0,3,6,55,51,75.31,4,0,7,39,25,4,0,0
23,3.38,3.69,0,8,4,1,4,2,48,83,76.53,1,1,8,61,74,4,0,1
23,3.1,2.94,0,4,0,0,5,4,78,15,72.5,2,0,5,53,69,1,0,0
20,2.48,3.45,2,7,2,3,1,5,82,42,79.24,0,0,5,59,32,3,0,1
24,2.85,4.0,2,5,3,4,4,9,35,63,61.48,0,1,1,92,21,1,1,1
24,3.94,3.98,3,3,3,4,5,1,91,92,60.38,1,0,3,10,92,4,1,1
21,3.32,3.49,0,8,0,0,4,9,30,26,97.1,3,1,7,25,68,2,1,0
24,3.13,3.48,2,2,5,4,10,10,45,64,72.52,2,1,10,26,0,3,1,1
21,3.87,2.5,3,1,3,0,10,1,81,12,91.36,4,0,9,29,85,1,0,0
20,3.17,3.67,0,5,0,0,7,1,36,39,95.84,2,0,8,52,34,0,1,0
23,3.05,2.81,1,4,3,4,8,4,64,31,80.74,3,1,5,36,55,3,1,0
23,3.52,3.92,2,7,3,4,8,6,97,66,64.94,4,1,3,2,94,2,0,1
23,3.43,2.16,1,9,4,3,3,2,44,13,83.99,3,0,9,73,66,2,0,0
24,2.39,2.87,0,6,0,2,5,1,86,57,71.55,2,1,4,95,2,4,0,0
20,2.94,3.11,3,1,5,3,10,4,52,91,98.65,2,1,9,68,70,4,0,1
24,2.95,2.81,3,8,3,3,8,8,40,45,90.56,1,1,3,8,0,0,1,0
24,2.76,2.42,0,2,5,4,7,6,33,89,90.75,3,0,7,25,41,2,1,0
20,3.03,3.19,1,4,2,3,9,5,87,84,79.43,0,1,1,34,57,4,0,1
20,2.83,3.51,3,3,0,4,10,1,69,74,50.42,3,0,10,68,87,1,1,1
20,2.4,3.29,2,6,0,1,7,3,87,90,91.59,3,0,5,79,100,4,0,1
20,2.82,2.47,1,2,0,0,2,7,96,58,51.27,4,0,9,76,93,0,0,0
23,2.14,3.46,1,5,4,2,4,10,67,64,56.12,4,1,9,93,95,0,0,0
22,3.15,2.51,2,9,0,1,8,3,31,32,91.93,1,1,6,10,95,1,1,0
22,3.71,2.35,0,3,4,0,9,5,69,45,60.94,0,1,6,29,84,3,0,0
20,3.45,3.38,3,2,2,0,7,6,85,81,92.06,2,0,3,20,63,2,0,1
22,2.72,3.69,1,2,1,2,5,9,64,53,61.82,0,1,9,3,79,0,0,1
22,2.17,2.96,3,9,4,3,1,3,78,65,88.54,0,0,1,16,3,2,0,1
20,2.4,3.06,3,6,3,0,9,6,96,3,77.11,0,1,7,96,16,1,1,0
22,3.09,2.61,1,2,0,2,6,2,73,53,83.55,1,1,3,59,76,1,0,0
24,2.41,2.99,0,3,1,4,2,9,60,3,91.9,1,0,2,30,98,3,1,0
21,3.09,2.26,1,1,4,0,10,9,94,16,99.2,0,1,5,5,39,0,1,0
21,2.46,3.91,0,2,5,0,10,7,47,79,54.28,2,0,5,96,33,1,1,1
20,3.7,3.6,2,2,5,3,2,9,65,72,84.27,2,1,2,38,55,4,0,1
23,2.79,3.34,0,2,3,3,10,4,91,89,97.94,2,0,8,41,10,2,1,1
20,2.49,3.08,0,7,1,4,1,10,58,73,68.69,1,1,2,49,99,2,1,1
23,3.62,3.58,1,3,2,0,4,1,52,70,66.69,4,1,8,26,88,4,0,0
21,2.69,2.99,3,4,4,3,10,1,32,72,84.0,2,0,6,88,39,2,0,0
20,2.22,2.6,3,2,5,2,2,2,59,54,70.1,4,1,10,82,93,4,0,0
24,3.14,2.32,0,5,5,0,10,10,74,47,60.72,0,0,4,1,12,2,1,1
22,3.16,3.3,0,9,4,2,9,3,78,90,58.07,2,1,3,64,23,1,1,1
23,3.43,3.86,1,9,5,1,2,2,48,95,59.63,0,0,9,13,99,3,0,1
22,2.48,2.31,0,7,2,4,9,4,93,48,85.22,0,1,6,14,33,0,1,0
22,2.89,2.36,1,8,5,3,1,8,34,22,95.93,3,1,5,50,7,0,1,0
20,2.56,2.87,2,5,4,1,7,3,85,26,90.3,0,1,10,21,81,0,0,0
22,2.16,3.61,0,5,0,3,6,4,63,24,72.41,0,1,3,57,6,0,0,0
24,3.75,2.59,2,3,5,1,6,2,77,92,76.43,1,1,3,80,61,0,1,1
22,3.46,2.51,0,6,4,3,2,1,55,23,81.01,0,1,6,61,45,4,0,0
20,2.6,3.24,0,1,0,4,1,8,34,79,79.0,2,0,10,49,85,1,0,0
24,3.2,3.07,2,3,5,0,10,7,60,79,98.42,1,1,4,40,70,3,1,1
21,2.4,2.12,2,2,5,2,8,10,53,91,94.33,3,1,4,31,12,0,0,1
22,3.78,2.16,1,7,4,1,8,2,51,19,52.18,3,1,8,32,1,2,0,0
20,2.23,3.29,1,9,3,2,2,8,51,52,91.79,0,0,2,64,1,2,0,1
21,2.01,2.93,2,4,3,2,4,10,86,82,55.7,4,1,6,40,28,3,0,1
21,3.0,3.94,0,7,1,3,4,3,59,73,84.51,3,0,9,82,90,0,1,0
23,3.17,3.36,1,8,3,0,2,7,76,25,64.28,3,0,3,58,81,0,1,0
24,3.16,2.02,0,2,2,3,9,1,96,59,88.67,3,0,5,98,57,1,0,0
22,2.11,2.96,3,7,1,2,4,3,68,1,50.43,2,0,7,57,1,2,1,0
20,2.63,2.83,1,3,3,4,4,9,95,2,69.11,4,0,1,3,58,2,1,0
23,3.0,2.21,1,8,0,0,4,4,58,55,51.08,0,1,8,74,52,4,0,0
24,2.43,3.85,1,6,4,0,5,1,43,65,97.68,0,1,6,2,67,2,0,1
23,3.75,3.61,3,3,3,2,10,6,33,24,50.77,1,0,4,65,60,0,0,0
24,2.17,2.46,2,8,0,3,8,1,34,67,57.76,2,1,6,35,48,0,0,0
24,2.97,2.51,0,3,1,4,4,10,73,14,76.96,4,1,2,22,45,2,0,0
22,3.38,2.06,3,9,4,1,3,1,53,81,82.31,1,1,4,10,71,4,1,1
24,2.52,2.59,2,3,3,3,1,2,57,6,86.45,4,1,8,34,99,3,1,0
23,3.25,3.17,1,1,1,0,2,3,53,90,62.35,3,1,4,28,58,2,1,0
24,3.66,2.84,2,2,3,3,4,2,34,81,65.05,4,0,5,60,47,3,0,0
22,2.38,3.94,2,4,1,1,9,8,42,70,62.0,1,0,2,61,8,2,0,1
22,3.83,2.11,2,2,3,4,1,6,84,92,62.2,2,0,3,6,17,3,1,1
23,3.11,3.18,0,4,0,4,6,1,59,40,89.09,2,0,3,18,49,0,0,0
21,2.6,3.72,2,4,2,1,6,6,78,59,97.4,3,1,2,69,85,0,1,1
21,2.86,2.96,2,4,0,1,10,1,44,43,79.79,0,1,8,88,74,3,1,0
24,2.62,2.01,2,1,4,2,3,9,59,32,57.87,1,0,3,79,26,1,1,0
20,3.45,2.49,2,9,3,0,10,3,57,65,53.27,0,0,1,61,31,0,0,1
24,3.59,2.65,3,7,2,2,9,1,33,81,61.96,3,1,2,22,65,4,1,0
23,3.67,3.93,3,2,2,3,10,1,97,22,58.89,4,0,8,52,65,4,0,0
23,3.97,3.82,2,3,4,1,3,2,44,63,78.93,4,1,1,10,93,3,1,0
23,3.58,3.9,2,8,4,2,1,6,63,5,84.9,3,0,1,96,21,1,1,0
23,3.2,3.65,2,7,2,0,2,1,72,62,50.23,2,1,1,71,85,4,0,1
23,2.68,2.7,1,4,4,0,4,7,90,42,71.98,1,1,10,99,23,0,0,0
22,3.09,3.81,2,4,4,1,4,4,92,24,81.15,3,0,8,88,90,2,0,0
21,2.08,3.96,2,9,3,2,2,7,31,82,59.64,3,0,6,34,74,2,0,1
23,3.49,2.7,3,5,0,4,10,4,81,7,95.05,1,1,7,12,12,0,0,0
20,2.89,2.52,3,5,5,1,6,4,81,36,77.45,2,0,4,69,90,1,0,0
20,2.04,3.09,3,7,1,3,6,4,44,89,67.27,2,0,8,98,14,3,1,1
20,2.13,2.37,0,1,2,2,3,10,69,92,50.93,1,1,2,60,48,0,0,1
20,2.77,2.07,1,3,1,2,1,10,57,58,74.22,0,0,9,38,16,2,0,0
22,3.17,3.89,2,2,2,1,10,8,84,27,66.8,4,0,4,67,38,3,0,0
20,2.93,3.85,3,6,2,2,9,2,79,52,98.48,1,1,1,42,72,1,1,1
23,3.24,2.33,0,6,0,2,4,8,51,70,68.94,2,0,2,41,86,4,1,0
24,2.96,2.82,2,1,2,3,9,10,58,54,96.05,0,1,8,15,3,2,1,1
20,3.32,3.66,2,6,2,3,5,1,41,35,84.3,3,1,9,10,56,1,1,0
22,2.44,3.32,3,2,0,4,7,7,67,61,53.7,3,1,5,87,14,0,1,0
22,2.23,2.79,2,4,4,3,3,7,31,14,96.64,3,1,4,77,42,1,1,0
20,3.19,3.49,2,6,5,4,3,6,41,53,58.42,4,1,10,62,30,1,1,0
24,2.97,3.79,2,3,1,3,8,4,84,60,72.4,2,0,7,71,5,3,1,1
20,2.05,3.85,3,3,2,4,1,5,41,96,96.15,0,1,2,93,89,2,0,1
22,2.76,2.76,0,3,0,3,8,1,38,53,91.43,2,0,7,30,58,2,1,0
21,2.21,2.35,2,4,2,3,8,2,61,68,74.38,4,1,9,69,64,1,1,0
23,3.06,3.83,0,9,0,1,3,10,37,28,60.35,4,1,2,23,85,0,0,0
22,2.79,2.19,2,4,1,3,1,7,57,80,75.46,1,1,8,54,29,1,1,1
20,3.23,3.44,3,4,3,4,9,2,85,26,77.38,2,0,6,0,57,0,0,0
23,3.61,2.28,0,4,4,1,4,8,65,80,99.85,3,1,6,37,85,3,1,0
20,2.6,2.78,3,7,3,4,7,7,66,67,91.2,1,0,4,55,96,2,1,1
20,3.92,2.82,1,5,0,3,9,10,61,11,93.07,2,0,9,45,55,2,1,0
21,3.07,2.32,2,2,2,3,3,8,68,22,99.31,1,1,8,84,68,2,1,0
23,3.24,3.85,1,7,4,4,5,4,78,49,76.17,1,0,7,5,35,2,1,1
23,3.36,2.01,1,3,1,2,10,1,47,74,79.26,0,1,5,78,45,3,0,0
21,3.33,3.79,1,1,5,1,3,7,52,99,72.72,1,0,5,31,73,1,1,1
22,3.02,3.77,2,9,4,1,5,1,62,75,56.27,4,1,2,81,0,2,1,1
20,2.86,2.63,3,5,2,3,2,7,80,72,76.26,3,1,5,95,11,4,0,1
24,2.11,3.41,1,1,3,1,4,9,72,87,79.13,0,0,3,11,66,0,1,1
20,2.04,2.51,0,1,0,4,2,5,33,81,61.86,1,1,7,74,9,0,0,0
20,2.72,3.52,2,1,3,3,3,2,96,26,89.14,0,1,9,33,0,2,0,0
22,2.67,3.12,3,9,4,1,5,1,31,58,56.22,3,0,10,65,18,0,0,0
20,2.78,2.6,3,8,5,0,9,8,74,8,75.1,3,1,6,43,81,0,0,0
21,2.28,2.8,1,6,2,1,3,4,69,32,83.14,0,1,10,85,94,3,0,0
21,3.48,3.38,2,6,0,4,10,8,31,69,52.75,2,1,7,20,54,0,1,1
23,3.71,3.81,1,6,2,1,6,2,61,50,90.2,3,1,7,69,48,3,0,0
24,3.88,2.26,0,4,2,2,4,3,30,96,65.21,4,1,7,5,54,0,1,0
20,2.98,3.14,3,5,5,2,4,3,47,39,85.89,4,1,4,11,85,3,0,0
20,3.4,2.51,3,3,4,3,10,4,93,5,55.41,1,0,6,3,67,0,1,0
22,3.71,3.6,2,3,3,2,10,9,61,3,81.01,2,1,7,6,40,4,0,0
21,2.84,2.14,3,7,2,4,5,9,38,2,77.86,2,0,10,75,54,1,0,0
24,2.62,3.38,2,5,2,0,7,5,84,12,57.5,1,0,4,93,73,3,0,0
23,3.87,2.35,1,8,2,0,4,7,96,25,81.24,3,1,9,72,73,4,0,0
21,3.03,3.19,0,5,0,3,8,9,53,33,84.57,0,1,9,6,78,1,1,0
23,2.99,3.67,2,4,2,3,9,1,40,76,74.93,2,1,4,46,68,1,0,1
22,2.36,3.51,1,3,2,2,9,2,57,52,78.93,2,1,8,21,42,4,1,0
22,2.22,3.51,0,2,4,4,9,6,45,46,94.37,3,0,8,26,80,2,0,0
20,3.68,3.04,3,3,2,2,2,3,41,7,84.89,0,0,2,98,81,2,1,0
24,3.23,3.78,0,7,5,4,3,7,97,75,95.3,4,0,6,37,56,3,0,1
23,2.65,3.18,0,8,5,4,5,5,33,7,77.62,2,1,9,87,47,2,1,0
21,2.38,3.84,0,5,2,0,1,10,95,18,58.74,3,0,8,13,49,3,0,0
22,3.11,3.09,3,1,5,4,4,8,60,73,62.31,2,1,1,39,68,4,0,1
20,3.17,3.01,2,3,4,1,5,1,85,31,58.82,4,1,5,99,7,2,1,0
20,2.41,2.44,2,4,0,4,9,9,79,20,66.76,1,1,5,76,55,2,1,0
23,3.7,3.09,0,4,5,0,8,10,96,63,73.88,3,1,9,100,90,0,1,1
22,2.17,2.28,1,1,5,2,1,6,30,22,62.8,0,0,2,49,88,0,1,0
24,2.71,3.74,1,9,3,4,3,5,98,90,73.78,1,1,5,74,25,1,0,1
22,3.36,3.35,0,4,4,1,3,8,68,88,68.22,0,0,1,31,22,0,0,1
23,2.55,3.99,0,2,5,3,6,4,81,70,77.77,4,1,8,68,40,4,0,1
23,3.66,2.18,1,9,0,2,4,9,65,41,71.43,0,1,8,80,86,3,1,0
22,3.48,2.48,0,4,3,3,4,5,96,34,71.7,2,1,2,65,92,3,1,0
23,3.58,3.75,0,4,2,1,1,1,41,1,74.53,4,1,10,95,96,0,0,0
22,2.24,2.79,2,6,4,0,10,8,90,91,99.39,1,0,1,86,58,0,1,1
21,2.28,2.93,2,8,5,0,4,9,40,70,77.83,2,0,3,4,17,3,1,1
22,2.57,3.72,0,5,2,2,1,5,43,75,86.17,2,0,9,39,70,1,1,0
22,3.04,3.04,0,8,4,4,5,5,83,51,70.84,4,0,7,37,95,2,0,0
23,3.5,2.39,3,1,3,4,3,6,37,16,66.29,0,1,7,71,70,1,1,0
23,3.67,3.78,2,4,5,3,10,9,62,85,95.83,0,0,10,90,7,4,0,1
20,3.41,2.06,0,1,0,0,5,5,33,8,87.12,1,1,4,61,57,4,0,0
20,3.86,3.79,3,3,4,4,3,2,59,51,79.12,4,0,5,1,84,2,0,0
21,3.48,2.1,3,7,0,4,5,3,83,2,66.82,1,0,7,39,16,2,0,0
20,2.61,3.33,3,1,2,0,4,10,35,21,62.89,3,0,2,70,50,1,1,0
22,2.53,2.14,3,5,2,0,9,3,34,53,62.6,4,0,3,49,32,3,1,0
23,3.39,3.41,2,1,3,1,6,9,80,35,75.19,3,0,3,21,29,2,0,0
20,2.39,2.07,3,6,3,3,10,8,43,38,93.74,1,0,7,6,65,1,0,0
20,2.19,3.68,2,9,1,0,2,6,63,17,94.05,3,1,7,72,59,1,0,0
21,3.06,2.93,3,3,1,1,1,5,70,80,87.25,3,0,6,34,45,3,1,1
21,3.64,2.19,3,6,3,0,1,10,68,26,77.12,2,1,1,23,99,1,0,0
22,2.2,3.41,1,4,5,2,1,2,47,98,61.75,2,0,10,35,21,4,1,1
23,3.58,2.98,2,6,2,2,9,9,49,95,73.94,1,1,8,52,31,3,1,1
21,3.62,2.38,1,2,0,2,5,10,37,66,84.74,1,1,10,81,24,0,0,0
20,2.96,2.03,1,4,3,0,4,8,55,12,79.75,0,0,10,25,7,1,1,0
23,2.11,2.84,3,7,5,4,10,5,56,16,75.7,3,1,4,78,96,2,0,0
23,2.35,2.17,2,6,0,4,5,6,61,60,71.41,0,0,8,55,62,2,0,0
20,3.41,2.19,0,9,1,2,9,9,71,17,87.63,0,0,7,85,28,3,0,0
21,3.42,2.53,3,7,0,3,3,1,79,16,92.11,4,1,1,88,80,2,1,0
20,3.8,3.26,2,1,3,1,3,4,78,55,86.15,0,1,7,42,39,2,0,1
23,3.17,3.06,1,6,2,2,2,5,94,47,96.9,0,0,4,88,44,0,0,1
24,2.25,2.14,2,3,3,1,8,9,92,15,88.99,3,1,5,40,1,2,0,0
24,2.24,3.94,3,8,4,1,7,5,56,85,72.53,0,0,6,88,48,3,1,1
22,3.44,3.77,2,1,5,2,2,5,64,24,80.84,3,1,5,37,30,3,0,0
20,2.37,2.52,1,2,5,4,4,3,67,64,75.22,3,1,2,88,67,4,1,0
20,2.66,2.24,2,3,5,3,7,8,67,26,77.32,0,0,8,6,89,1,0,0
22,2.97,3.88,2,3,4,2,1,7,71,13,94.78,3,1,8,39,8,1,0,0
22,2.05,2.92,1,7,4,1,1,8,71,91,65.04,1,0,5,23,94,1,0,1
22,2.5,2.62,3,8,2,0,8,4,78,99,50.65,1,0,5,82,9,3,1,1
23,2.82,2.98,0,9,5,0,6,8,86,49,84.78,3,0,7,21,50,2,0,0
20,2.56,3.55,1,7,3,1,2,10,83,95,59.05,1,0,2,45,69,1,1,1
23,2.27,2.34,1,8,4,2,10,4,39,28,57.71,4,0,5,22,43,2,0,0
22,3.46,3.53,3,6,3,4,10,1,89,80,99.62,2,1,1,83,25,2,0,1
20,3.63,3.5,3,2,1,2,1,4,69,27,63.34,1,0,4,83,74,4,1,0
23,2.51,3.08,2,1,5,3,3,5,30,20,60.19,0,0,8,6,78,1,1,0
23,3.55,3.73,1,3,4,0,4,10,93,23,59.55,1,1,1,33,83,3,1,1
22,2.77,2.26,2,9,4,1,5,8,41,45,70.62,4,1,10,10,77,3,0,0
20,3.01,3.19,2,7,2,4,10,10,86,59,70.47,4,1,1,42,20,4,0,1
22,3.71,2.9,3,2,3,2,3,6,55,98,81.62,4,0,4,71,90,1,0,1
20,3.5,2.84,3,1,2,3,5,10,69,19,55.18,1,1,10,10,29,2,1,0
24,3.61,2.51,2,2,2,2,7,5,72,51,81.77,2,1,5,42,70,1,0,0
21,2.27,2.74,1,3,3,3,9,3,42,21,72.68,0,0,9,24,100,3,0,0
21,2.14,2.22,1,6,1,2,5,4,85,67,60.38,2,0,5,30,14,3,0,0
21,3.79,2.5,2,9,3,4,4,6,46,15,88.91,1,1,1,100,79,3,1,0
22,2.78,2.54,0,8,1,4,10,6,53,20,73.7,2,1,3,25,58,2,0,0
24,2.58,3.44,0,9,2,1,9,6,87,43,85.85,3,1,4,73,83,3,0,0
20,3.45,2.1,3,8,1,4,8,2,90,61,96.03,0,1,7,96,83,1,0,1
23,3.67,3.3,1,7,5,3,5,8,57,20,67.67,3,0,2,70,85,2,1,0
20,3.72,2.44,2,6,1,1,9,8,96,10,94.9,3,1,4,99,69,1,0,0
23,2.63,2.16,2,8,1,4,9,6,80,59,60.02,2,1,8,44,19,0,0,0
20,3.7,2.6,1,6,4,0,1,4,68,36,61.11,3,0,5,57,68,0,1,0
24,2.08,2.45,3,2,4,3,6,2,95,43,83.18,0,0,6,63,52,2,1,1
23,2.1,3.1,3,9,2,1,5,6,69,21,55.13,3,1,3,19,74,3,0,0
22,3.25,2.71,0,9,3,3,6,6,42,83,72.74,1,1,4,78,1,3,0,1
20,2.13,3.93,1,3,1,1,10,10,48,65,60.69,0,1,9,79,29,2,0,1
20,2.65,3.93,1,9,5,3,3,3,35,42,78.54,1,0,2,98,7,1,1,0
23,3.35,2.89,2,2,4,0,3,2,47,74,90.34,1,0,3,61,39,0,0,0
22,2.67,3.59,1,3,3,4,10,4,38,20,52.12,4,1,2,60,7,3,1,0
22,2.36,2.03,0,6,5,2,5,8,97,32,70.67,4,0,2,84,16,3,0,0
24,2.56,3.1,1,4,1,2,7,5,83,16,86.53,1,1,9,53,98,0,1,0
22,2.92,3.49,2,8,3,2,4,3,79,35,67.11,3,1,8,34,29,2,0,0
22,2.95,2.43,0,1,5,1,6,5,99,13,52.09,1,1,7,33,0,2,0,0
22,3.57,2.12,2,6,0,4,5,9,40,36,79.57,1,0,9,0,68,2,1,0
21,3.5,2.31,1,2,5,1,2,8,84,30,56.01,4,1,8,8,63,3,0,0
24,2.91,2.88,3,6,5,1,1,10,71,3,68.5,2,0,9,93,79,1,1,0
20,3.69,3.01,1,1,1,1,6,7,40,5,99.53,2,0,2,20,35,4,0,0
23,2.23,2.76,1,2,3,1,5,4,96,49,69.9,2,0,7,81,78,2,1,0
20,2.51,2.88,2,9,1,4,9,2,31,84,92.14,1,1,9,21,48,4,0,1
24,3.66,2.94,3,6,1,2,7,9,95,76,92.99,1,0,9,89,80,1,0,1
23,2.76,3.54,1,8,0,3,1,3,55,37,63.14,3,1,8,75,76,3,1,0
24,3.96,2.21,0,7,5,1,10,6,66,78,79.78,4,0,1,30,23,4,1,0
22,2.93,3.54,0,9,3,4,6,7,65,4,97.37,1,1,3,36,3,2,0,0
23,3.58,3.38,2,9,2,0,7,3,45,37,80.32,0,0,8,99,76,4,0,0
22,2.8,3.48,2,4,4,3,3,3,95,23,90.66,0,0,3,47,61,0,0,0
20,2.85,3.47,3,7,1,1,9,3,50,17,73.13,4,0,4,1,8,1,0,0
20,2.77,2.94,2,5,1,1,2,3,36,92,85.97,0,0,10,100,25,0,1,1
23,3.44,2.42,3,7,1,3,1,3,40,31,51.09,0,1,2,15,46,1,1,0
23,3.1,3.07,1,4,1,3,10,7,85,70,89.37,4,0,3,49,15,1,0,0
24,3.89,3.92,0,1,4,1,10,5,73,93,83.59,1,1,5,22,36,3,1,1
24,2.5,3.18,0,4,2,4,9,4,83,89,67.94,1,0,6,98,69,1,0,1
22,2.2,2.02,0,3,0,0,7,6,86,71,70.85,3,1,6,5,10,1,0,0
23,2.79,2.12,2,9,2,4,10,8,87,88,66.33,1,1,7,60,1,2,1,1
